,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Pressure,Velocity
359,7.143157224742794e+32,14832565575.484549,8417590.5028031,32.92735097913063,2.0299913394950386e+33,0.7289493962550485,2.912086695138127,3.796042791308833e+16,3.7839914670020205e-12
360,7.163054598627872e+32,14854390747.225122,8409380.265898025,32.82992378531896,2.0310592441820933e+33,0.7289723732734056,2.9164813091400847,3.781184851632331e+16,3.756015534544425e-12
361,7.182951972512949e+32,14876216457.065643,8401172.426609699,32.73268437988801,2.032119283311368e+33,0.7289951961980775,2.9208116675440925,3.766370550263163e+16,3.728222751608554e-12
362,7.202849346398025e+32,14898042864.31128,8392967.218635172,32.63563347721249,2.0331715079813762e+33,0.7290178640851944,2.9250777231902365,3.751600005693539e+16,3.700612642939454e-12
363,7.222746720283104e+32,14919870127.098873,8384764.820472091,32.538768000589975,2.0342159690952374e+33,0.7290403789801047,2.92927917970205,3.736872883358062e+16,3.673184200367513e-12
364,7.242644094168181e+32,14941698404.94037,8376565.427157547,32.44208624631576,2.0352527173067962e+33,0.7290627418647926,2.93341583726588,3.722189010913878e+16,3.645936599265369e-12
365,7.262541468053259e+32,14963527857.827503,8368369.2388071595,32.3455868913613,2.0362818030535858e+33,0.7290849534324194,2.937487523496801,3.707548260784476e+16,3.6188690643157565e-12
366,7.282438841938338e+32,14985358645.994099,8360176.4552084375,32.249268624011016,2.0373032765635726e+33,0.7291070143775339,2.941494069021251,3.692950506060792e+16,3.5919808179838834e-12
367,7.302336215823413e+32,15007190929.925024,8351987.275821442,32.15313014382794,2.0383171878544226e+33,0.7291289253959969,2.945435307472153,3.678395620497934e+16,3.565271080608901e-12
368,7.322233589708491e+32,15029024870.365116,8343801.899778663,32.05717016161731,2.0393235867327974e+33,0.7291506871849076,2.9493110754852747,3.663883478511271e+16,3.538739070492537e-12
369,7.342130963593569e+32,15050860628.328068,8335620.525885447,31.96138739939295,2.0403225227936718e+33,0.7291723004425305,2.953121212695167,3.649413955173038e+16,3.5123840039880917e-12
370,7.362028337478645e+32,15072698365.105316,8327443.396522056,31.865782324689956,2.041314045454856e+33,0.729193764476955,2.9568656551341763,3.634987139396036e+16,3.4862053632242537e-12
371,7.381925711363723e+32,15094538241.087969,8319270.686265041,31.770352555939105,2.0422982039380418e+33,0.7292150808852542,2.960544182320107,3.620602770737254e+16,3.460202193398756e-12
372,7.401823085248801e+32,15116380417.727884,8311102.577721518,31.675096217401645,2.0432750472143757e+33,0.7292362508743768,2.9641566080639206,3.606260648866743e+16,3.4343736089825373e-12
373,7.421720459133878e+32,15138225057.213106,8302939.268408249,31.58001207617096,2.0442446240268564e+33,0.7292572751463932,2.9677027840292967,3.5919606515097324e+16,3.408718819365087e-12
374,7.441617833018957e+32,15160072322.044415,8294780.955514617,31.485098910384682,2.045206982903763e+33,0.7292781544041922,2.9711825648660186,3.5777026570297972e+16,3.383237032412897e-12
375,7.461515206904034e+32,15181922375.044125,8286627.835901714,31.390355509196493,2.0461621721581238e+33,0.729298889351414,2.974595808209494,3.5634865444252464e+16,3.3579274545504887e-12
376,7.48141258078911e+32,15203775379.364904,8278480.106101582,31.295780672748187,2.0471102398872095e+33,0.7293194806923845,2.9779423746801945,3.5493121933255616e+16,3.332789290840844e-12
377,7.50130995467419e+32,15225631498.498558,8270337.962316094,31.20137321214329,2.0480512339720476e+33,0.7293399291320509,2.9812221278839384,3.5351794839878216e+16,3.3078217450643948e-12
378,7.521207328559266e+32,15247490896.284788,8262201.671649356,31.1071339406795,2.0489852021211664e+33,0.7293602337539479,2.9844350184923183,3.521088548736681e+16,3.283024352857295e-12
379,7.541104702444342e+32,15269353735.522486,8254071.37486904,31.013060002730853,2.049912191837534e+33,0.7293803966337628,2.987580838725993,3.5070390576008536e+16,3.258396039701713e-12
380,7.56100207632942e+32,15291220180.555414,8245947.256094593,30.91914992020696,2.0508322503595782e+33,0.7294004187400109,2.990659447133125,3.493030852171044e+16,3.2339359525248254e-12
381,7.580899450214498e+32,15313090396.327366,8237829.510225927,30.825402548326707,2.0517454247000436e+33,0.7294203007793723,2.99367071931965,3.479063815237027e+16,3.209643290723689e-12
382,7.600796824099575e+32,15334964548.164679,8229718.331826396,30.731816753145537,2.052651761653343e+33,0.7294400434588401,2.9966145338830574,3.4651378301979736e+16,3.1855172527930767e-12
383,7.620694197984652e+32,15356842801.784973,8221613.915120775,30.63839141153455,2.0535513077952052e+33,0.7294596474856615,2.9994907724152564,3.4512527810589348e+16,3.1615570363980937e-12
384,7.640591571869729e+32,15378725323.30587,8213516.45399313,30.545125411160694,2.0544441094823467e+33,0.72947911356728,3.0022993195058163,3.4374085524273868e+16,3.1377618384459045e-12
385,7.660488945754807e+32,15400612279.25372,8205426.172304273,30.452018313674458,2.0553302128679975e+33,0.7294984418650664,3.005040083623061,3.423605115311291e+16,3.114130973579432e-12
386,7.680386319639885e+32,15422503836.096214,8197343.311020429,30.35906998243927,2.0562096639262798e+33,0.7295176322976407,3.007712981071479,3.4098424802071584e+16,3.0906638121438243e-12
387,7.700283693524961e+32,15444400160.03665,8189267.990586931,30.266277703400146,2.0570825083979412e+33,0.7295366869168949,3.0103178516556217,3.3961203227960456e+16,3.0673592597471255e-12
388,7.720181067410038e+32,15466301418.885653,8181200.403539495,30.173640407701992,2.05794879176187e+33,0.7295556064303927,3.012854592038776,3.38243853011454e+16,3.044216510939059e-12
389,7.740078441295117e+32,15488207780.897032,8173140.7420606185,30.081157037192884,2.058808559276598e+33,0.7295743915456181,3.015323101903838,3.3687969897836532e+16,3.0212347598545883e-12
390,7.759975815180194e+32,15510119414.776468,8165089.197976237,29.988826544409353,2.0596618559800905e+33,0.7295930429699216,3.0177232839592913,3.355195590005326e+16,2.9984132002792867e-12
391,7.77987318906527e+32,15532036489.69023,8157045.962752493,29.896647892561955,2.060508726689559e+33,0.7296115614104682,3.0200550439450917,3.3416342195589868e+16,2.97575102571418e-12
392,7.799770562950351e+32,15553959175.27385,8149011.234472964,29.804620179409966,2.0613492160044537e+33,0.7296299474712693,3.02231829315871,3.3281127842245776e+16,2.953247452936107e-12
